[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001894s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: SHOW COLUMNS FROM `pp_album` [ RunTime:0.001503s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: SHOW COLUMNS FROM `pp_album_cate` [ RunTime:0.001410s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: SHOW COLUMNS FROM `pp_group` [ RunTime:0.001642s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: SELECT `id`,`title` FROM `pp_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000685s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001638s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000609s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 58 行.
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.002192s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.002068s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: SELECT `cid`,count(id) as cate_nums FROM `pp_items` GROUP BY cid  [ RunTime:0.000882s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '118' ) [ RunTime:0.000190s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '333' ) [ RunTime:0.000143s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '349' ) [ RunTime:0.000151s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '352' ) [ RunTime:0.000147s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '353' ) [ RunTime:0.000158s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '366' ) [ RunTime:0.000117s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | SQL: UPDATE `pp_items_cate` SET `item_nums`='24' WHERE ( `id` = '376' ) [ RunTime:0.000120s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001812s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001872s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | NOTIC: [8] Undefined variable: lang 61acf2961088e1c8be817cc708b9bd0a.php 第 41 行.
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.013739s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013803s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000887s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000880s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000746s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000999s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003654s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000931s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000980s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Tag[ app_begin ] --START--
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000446s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000534s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | SQL: SHOW COLUMNS FROM `pp_admin` [ RunTime:0.001718s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001627s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002002s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | SQL: SHOW COLUMNS FROM `pp_album` [ RunTime:0.001814s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | SQL: SHOW COLUMNS FROM `pp_album_cate` [ RunTime:0.001779s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | SQL: SHOW COLUMNS FROM `pp_group` [ RunTime:0.002009s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | SQL: SELECT `id`,`title` FROM `pp_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000672s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.001848s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000567s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 58 行.
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | SQL: SHOW COLUMNS FROM `pp_role` [ RunTime:0.002310s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | SQL: SELECT * FROM `pp_role` WHERE id=1 LIMIT 1   [ RunTime:0.000680s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Tag[ view_template ] --START--
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.001664s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.001730s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Tag[ view_parse ] --START--
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | NOTIC: [8] Undefined variable: sub_menu 987c9db608489a54aaba6faa6bc56bce.php 第 36 行.
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | NOTIC: [8] Undefined variable: big_menu 987c9db608489a54aaba6faa6bc56bce.php 第 36 行.
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.013982s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014052s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Tag[ view_filter ] --START--
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.000683s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.000670s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001492s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.000700s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003760s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Tag[ view_end ] --START--
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.000732s ]
[ 2012-09-28T14:08:25+08:00 ] /SHX/PinPHP/admin.php?a=panel&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.000792s ]
