[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_user` WHERE id= LIMIT 1   [ RunTime:0.000100s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | NOTIC: [8] Undefined index:  user_id baseAction.class.php 第 114 行.
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT COUNT(*) AS tp_count FROM `pp_user_follow` WHERE fans_id= and uid= LIMIT 1   [ RunTime:0.000103s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | NOTIC: [8] Undefined index:  user_id baseAction.class.php 第 118 行.
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001582s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_items_cate` ORDER BY ordid DESC  [ RunTime:0.003135s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | NOTIC: [8] Undefined index:  user_id baseAction.class.php 第 201 行.
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | NOTIC: [8] Use of undefined constant __TMPL__ - assumed '__TMPL__' baseAction.class.php 第 205 行.
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_focus` [ RunTime:0.001939s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.002146s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.002377s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_items_cate` WHERE pid=0 AND is_hots=1 and status=1  [ RunTime:0.000686s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_items_cate` WHERE pid=1 and status=1 ORDER BY ordid DESC LIMIT 0,10   [ RunTime:0.000435s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_items_cate` WHERE pid in(-1,7,8,9,10,11) AND is_hots=1 and status=1 ORDER BY ordid DESC LIMIT 0,10   [ RunTime:0.000436s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_items_cate` WHERE pid in(-1,7,8,9,10,11) AND is_hots=1 and status=1 ORDER BY ordid DESC  [ RunTime:0.000419s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=38 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000196s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=37 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000167s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=39 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000143s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=40 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000140s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=65 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000136s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_article` [ RunTime:0.002290s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_article` WHERE is_best=1 and status=1 ORDER BY add_time DESC LIMIT 1   [ RunTime:0.000603s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_article` WHERE cate_id=9 and status=1 ORDER BY is_hot DESC,add_time DESC LIMIT 0,4   [ RunTime:0.000210s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_focus` WHERE cate_id=1 and status=1 ORDER BY ordid DESC  [ RunTime:0.000166s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.002267s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001893s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_items` ORDER BY sort_order DESC,last_time DESC LIMIT 0,25   [ RunTime:0.000975s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001851s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='164' LIMIT 1   [ RunTime:0.000549s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001708s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.000593s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001517s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | NOTIC: [8] Undefined index:  mapping_order RelationModel.class.php 第 197 行.
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | NOTIC: [8] Undefined index:  mapping_limit RelationModel.class.php 第 198 行.
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='658' [ RunTime:0.000641s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001765s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000442s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001593s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='173' LIMIT 1   [ RunTime:0.000521s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001523s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='2' LIMIT 1   [ RunTime:0.000530s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001431s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | NOTIC: [8] Undefined index:  mapping_order RelationModel.class.php 第 197 行.
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | NOTIC: [8] Undefined index:  mapping_limit RelationModel.class.php 第 198 行.
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='657' [ RunTime:0.000578s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001721s ]
[ 2012-10-10T11:14:42+08:00 ] /SHX/PinPHP/ | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000451s ]
